question_text,trait_pair,option_a,trait_a,option_b,trait_b
"At a social gathering, you tend to:","E vs I","Mingle and chat with many people","E","Spend time with a few close people","I"
"You prefer to focus on:","S vs N","What is real and concrete","S","Possibilities and meanings","N"
"When making decisions, you rely more on:","T vs F","Logic and objective analysis","T","Personal values and how it affects people","F"
"Your work and life style is:","J vs P","Well-organized and planned","J","Flexible and spontaneous","P"
"You feel energized by:","E vs I","Being around people and activities","E","Solitude and quiet reflection","I"
"When learning something new, you prefer:","S vs N","Step-by-step practical instructions","S","Understanding the big picture and theory","N"
"What matters more to you:","T vs F","Being right and fair","T","Harmony and understanding others","F"
"You prefer to approach life:","J vs P","With a clear plan and structure","J","Going with the flow and improvising","P"
"In a group, you are more likely to:","E vs I","Be the center of attention","E","Observe and listen","I"
"You trust:","S vs N","Your direct experience and senses","S","Your intuition and insight","N"
"You believe that:","T vs F","Principles and standards are important","T","Compassion and empathy are most important","F"
"You would rather:","J vs P","Finish tasks and complete projects","J","See what other opportunities come up","P"
"When facing challenges, you:","E vs I","Talk it through with others","E","Think it through on your own","I"
"You pay more attention to:","S vs N","Details and specifics","S","Patterns and connections","N"
"In conflicts, you:","T vs F","Focus on finding the most logical solution","T","Try to understand everyone's feelings","F"
"Your ideal weekend is:","J vs P","Well-planned activities","J","Spontaneous and unscheduled","P"
